"Shelf No.","Warehouse Code","Customer Code","Sub-wh. code","Zone Code","Sku Code","Available Qty.","pending shipped Qty.","Putaway time","Stock Type",Length,Width,Height,Wt,库位类型描述
564-004D,UK,G4527,UK-5,UK-5PHIGH-P,G4527-EBF73HX01UK,35,1,"2021-08-13 07:12:40",Standard,77.00,43.00,10.00,6.000,英国仓卡板区库位
564-004F,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0066A,2,0,"2021-09-29 10:17:31",Standard,103.00,82.00,26.00,22.140,英国仓卡板区库位
564-004G,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0060B,4,0,"2021-09-29 10:20:00",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-005B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13000116,9,0,"2021-05-26 12:42:59",Standard,73.00,42.00,42.00,14.600,英国仓卡板区库位
564-005C,UK,G4527,UK-5,UK-5PHIGH-P,G4527-EBF13XG01UK,29,0,"2021-08-13 07:28:37",Standard,110.00,40.00,11.00,14.500,英国仓卡板区库位
564-005D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A00640,6,0,"2021-09-29 10:23:34",Standard,71.20,71.20,20.40,20.900,英国仓卡板区库位
564-005E,UK,G2425,UK-5,UK-5PHIGH-P,G2425-TN-3514-GREEN,1,0,"2020-10-20 17:20:54",Standard,73.00,65.00,40.00,11.970,英国仓卡板区库位
564-005F,UK,G666,UK-5,UK-5PHIGH-P,G666-G13003732,48,0,"2021-09-29 10:27:26",Standard,77.50,40.50,7.50,5.600,英国仓卡板区库位
564-005G,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0063B,4,0,"2021-09-29 10:30:08",Standard,84.00,71.00,49.00,18.800,英国仓卡板区库位
564-006B,UK,G4527,UK-5,UK-5PHIGH-P,G4527-EBF13XG01UK,7,0,"2021-08-13 07:23:34",Standard,110.00,40.00,11.00,14.500,英国仓卡板区库位
564-006C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13001809,34,0,"2021-09-29 10:35:52",Standard,43.00,37.50,24.00,14.050,英国仓卡板区库位
564-006D,UK,G4527,UK-5,UK-5PHIGH-P,G4527-EBF73HX01UK,42,0,"2021-08-13 07:35:05",Standard,77.00,43.00,10.00,6.000,英国仓卡板区库位
564-006E,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0062A,4,0,"2021-09-29 10:37:53",Standard,84.00,72.00,49.00,24.400,英国仓卡板区库位
564-006F,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0061B,4,0,"2021-07-07 13:35:40",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-006G,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0062A,4,0,"2021-09-29 10:32:53",Standard,84.00,72.00,49.00,24.400,英国仓卡板区库位
564-007B,UK,G666,UK-5,UK-5PHIGH-P,G666-G13003720,48,0,"2021-09-29 10:54:48",Standard,78.00,40.00,7.00,5.380,英国仓卡板区库位
564-007C,UK,G666,UK-5,UK-5PHIGH-P,G666-G13003732,48,0,"2021-09-29 10:51:13",Standard,77.50,40.50,7.50,5.600,英国仓卡板区库位
564-007D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0061B,4,0,"2021-09-29 10:48:29",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
564-007E,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0063B,4,0,"2021-09-29 10:46:28",Standard,84.00,71.00,49.00,18.800,英国仓卡板区库位
564-007F,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A00650,5,0,"2021-09-29 10:44:11",Standard,71.00,71.00,20.00,20.900,英国仓卡板区库位
564-007G,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A00640,5,0,"2021-09-29 10:41:06",Standard,71.20,71.20,20.40,20.900,英国仓卡板区库位
564-008D,UK,G5688,UK-5,UK-5PHIGH-P,G5688-OY-01K-A0061A,4,0,"2021-07-07 15:48:14",Standard,84.00,71.00,49.00,18.740,英国仓卡板区库位
